"time","Cp_p[1]","Cp_p[2]","Cp_p[3]","Cp_pc[1,1]","Cp_pc[1,2]","Cp_pc[1,3]","Cp_pc[2,1]","Cp_pc[2,2]","Cp_pc[2,3]","Cp_pc[3,1]","Cp_pc[3,2]","Cp_pc[3,3]","Cpres_p[1]","Cpres_p[2]","Cpres_p[3]","F_p[1]","F_p[2]","F_p[3]","F_pc[1,1]","F_pc[1,2]","F_pc[1,3]","F_pc[2,1]","F_pc[2,2]","F_pc[2,3]","F_pc[3,1]","F_pc[3,2]","F_pc[3,3]","Fm_p[1]","Fm_p[2]","Fm_p[3]","Fm_pc[1,1]","Fm_pc[1,2]","Fm_pc[1,3]","Fm_pc[2,1]","Fm_pc[2,2]","Fm_pc[2,3]","Fm_pc[3,1]","Fm_pc[3,2]","Fm_pc[3,3]","H_p[1]","H_p[2]","H_p[3]","H_pc[1,1]","H_pc[1,2]","H_pc[1,3]","H_pc[2,1]","H_pc[2,2]","H_pc[2,3]","H_pc[3,1]","H_pc[3,2]","H_pc[3,3]","Hres_p[1]","Hres_p[2]","Hres_p[3]","K_c[1]","K_c[2]","K_c[3]","MW_p[1]","MW_p[2]","MW_p[3]","P","Pbubl","Pdew","Pvap_c[1]","Pvap_c[2]","Pvap_c[3]","S_p[1]","S_p[2]","S_p[3]","S_pc[1,1]","S_pc[1,2]","S_pc[1,3]","S_pc[2,1]","S_pc[2,2]","S_pc[2,3]","S_pc[3,1]","S_pc[3,2]","S_pc[3,3]","Sres_p[1]","Sres_p[2]","Sres_p[3]","T","gma_c[1]","gma_c[2]","gma_c[3]","gmabubl_c[1]","gmabubl_c[2]","gmabubl_c[3]","gmadew_c[1]","gmadew_c[2]","gmadew_c[3]","philiqbubl_c[1]","philiqbubl_c[2]","philiqbubl_c[3]","phivapdew_c[1]","phivapdew_c[2]","phivapdew_c[3]","x_pc[1,1]","x_pc[1,2]","x_pc[1,3]","x_pc[2,1]","x_pc[2,2]","x_pc[2,3]","x_pc[3,1]","x_pc[3,2]","x_pc[3,3]","xliq","xm_pc[1,1]","xm_pc[1,2]","xm_pc[1,3]","xm_pc[2,1]","xm_pc[2,2]","xm_pc[2,3]","xm_pc[3,1]","xm_pc[3,2]","xm_pc[3,3]","xmliq","xmvap","xvap","In.F","In.H","In.P","In.S","In.T","In.x_pc[1,1]","In.x_pc[1,2]","In.x_pc[1,3]","In.x_pc[2,1]","In.x_pc[2,2]","In.x_pc[2,3]","In.x_pc[3,1]","In.x_pc[3,2]","In.x_pc[3,3]","In.xvap","Out.F","Out.H","Out.P","Out.S","Out.T","Out.x_pc[1,1]","Out.x_pc[1,2]","Out.x_pc[1,3]","Out.x_pc[2,1]","Out.x_pc[2,2]","Out.x_pc[2,3]","Out.x_pc[3,1]","Out.x_pc[3,2]","Out.x_pc[3,3]","Out.xvap"
0.394,100.6046883039625,102.3488139193201,54.24613082298178,33.19954714030764,33.19954714030764,34.20559402334727,94.35462887220507,138.1574215908569,75.69898534315931,48.32043582051388,73.53002202022739,33.92202715371027,0,0,0,100,96.37416147480899,3.625838525191014,33,33,34,31.07475412838748,31.83933934587208,33.46006800054943,1.925245871612528,1.160660654127918,0.5399319994505675,3190.173,3065.286921136671,124.8860788633297,1057.386,1520.277,612.51,995.6972717817916,1466.806524324981,602.7831250298981,61.68872821820863,53.47047567501907,9.726874970101973,-34452.26668818153,-35851.63766098299,2742.771965345748,-11369.24800709991,-11369.24800709991,-11713.77067398172,-32068.29486511529,-35224.67896017124,-39961.86236207231,2453.673890825646,3668.05531988026,1784.586287161829,0,0,0,1.646761302896845,0.9689321532672491,0.4289082511102001,31.90173,31.80610730333461,34.44336475429515,101325,102237.6997219948,75973.72386552161,166858.0890160228,98177.05042980402,43459.12854374103,-88.44004297236417,-92.39354114130654,16.64325521558816,-29.18521418088018,-29.18521418088018,-30.06961461060382,-81.37420829054548,-90.28892399885467,-104.6299979943292,12.83163769046399,20.7789969212141,21.34404759988494,0,0,0,351,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.33,0.34,0.3224386459280378,0.3303721543060532,0.3471891997659091,0.5309794846727499,0.320108202851304,0.148912312475946,0.9637416147480898,0.331450990275449,0.4765500178203502,0.1919989919042008,0.3248300395359293,0.4785217704126241,0.1966481900514468,0.4939600056281558,0.4281540117336459,0.07788598263819842,0.9608528820025342,0.03914711799746586,0.03625838525191014,100,-34452.26668818153,101325,-88.44004297236417,351,0.33,0.33,0.34,0.3224386459280378,0.3303721543060532,0.3471891997659091,0.5309794846727499,0.320108202851304,0.148912312475946,0.03625838525191014,100,-34452.26668818153,101325,-88.44004297236417,351,0.33,0.33,0.34,0.3224386459280378,0.3303721543060532,0.3471891997659091,0.5309794846727499,0.320108202851304,0.148912312475946,0.03625838525191014
0.396,100.6046883039626,102.3488139193201,54.24613082298178,33.19954714030764,33.19954714030764,34.20559402334727,94.35462887220507,138.1574215908569,75.69898534315931,48.32043582051388,73.53002202022739,33.92202715371027,0,0,0,100,96.37416147480903,3.625838525190971,33,33,34,31.0747541283875,31.8393393458721,33.46006800054944,1.925245871612506,1.160660654127905,0.5399319994505609,3190.173,3065.286921136672,124.8860788633282,1057.386,1520.277,612.51,995.6972717817923,1466.806524324982,602.7831250298982,61.68872821820792,53.47047567501843,9.726874970101855,-34452.26668818155,-35851.63766098299,2742.771965345749,-11369.24800709991,-11369.24800709991,-11713.77067398173,-32068.29486511529,-35224.67896017124,-39961.86236207231,2453.673890825646,3668.05531988026,1784.586287161829,0,0,0,1.646761302896845,0.9689321532672491,0.4289082511102001,31.90173,31.80610730333461,34.44336475429515,101325,102237.6997219948,75973.72386552161,166858.0890160228,98177.05042980402,43459.12854374103,-88.44004297236422,-92.39354114130654,16.64325521558816,-29.18521418088019,-29.18521418088019,-30.06961461060384,-81.37420829054548,-90.28892399885467,-104.6299979943292,12.83163769046399,20.7789969212141,21.34404759988495,0,0,0,351,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.33,0.34,0.3224386459280379,0.3303721543060532,0.347189199765909,0.53097948467275,0.320108202851304,0.1489123124759459,0.9637416147480903,0.331450990275449,0.4765500178203502,0.1919989919042008,0.3248300395359294,0.4785217704126241,0.1966481900514467,0.493960005628156,0.4281540117336458,0.07788598263819839,0.9608528820025346,0.0391471179974654,0.03625838525190968,100,-34452.26668818155,101325,-88.44004297236422,351,0.33,0.33,0.34,0.3224386459280379,0.3303721543060532,0.347189199765909,0.53097948467275,0.320108202851304,0.1489123124759459,0.03625838525190968,100,-34452.26668818155,101325,-88.44004297236422,351,0.33,0.33,0.34,0.3224386459280379,0.3303721543060532,0.347189199765909,0.53097948467275,0.320108202851304,0.1489123124759459,0.03625838525190968
0.398,100.6046883039626,102.3488139193201,54.24613082298178,33.19954714030766,33.19954714030766,34.20559402334728,94.35462887220507,138.1574215908569,75.69898534315931,48.32043582051388,73.53002202022739,33.92202715371027,0,0,0,100,96.37416147480907,3.625838525190929,33,33,34,31.07475412838752,31.83933934587211,33.46006800054945,1.925245871612484,1.160660654127891,0.5399319994505544,3190.173,3065.286921136673,124.8860788633268,1057.386,1520.277,612.51,995.6972717817929,1466.806524324982,602.7831250298983,61.68872821820721,53.47047567501782,9.726874970101738,-34452.26668818155,-35851.63766098298,2742.771965345749,-11369.24800709991,-11369.24800709991,-11713.77067398173,-32068.29486511529,-35224.67896017124,-39961.86236207231,2453.673890825646,3668.05531988026,1784.586287161829,0,0,0,1.646761302896845,0.9689321532672491,0.4289082511102001,31.90173,31.80610730333461,34.44336475429515,101325,102237.6997219948,75973.72386552161,166858.0890160228,98177.05042980402,43459.12854374103,-88.44004297236427,-92.39354114130654,16.64325521558816,-29.18521418088021,-29.18521418088021,-30.06961461060385,-81.37420829054548,-90.28892399885467,-104.6299979943292,12.83163769046399,20.7789969212141,21.34404759988495,0,0,0,351,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.33,0.34,0.3224386459280379,0.3303721543060532,0.3471891997659089,0.5309794846727501,0.320108202851304,0.1489123124759459,0.9637416147480907,0.331450990275449,0.4765500178203502,0.1919989919042008,0.3248300395359294,0.478521770412624,0.1966481900514467,0.4939600056281559,0.4281540117336458,0.07788598263819835,0.960852882002535,0.03914711799746495,0.03625838525190923,100,-34452.26668818155,101325,-88.44004297236427,351,0.33,0.33,0.34,0.3224386459280379,0.3303721543060532,0.3471891997659089,0.5309794846727501,0.320108202851304,0.1489123124759459,0.03625838525190923,100,-34452.26668818155,101325,-88.44004297236427,351,0.33,0.33,0.34,0.3224386459280379,0.3303721543060532,0.3471891997659089,0.5309794846727501,0.320108202851304,0.1489123124759459,0.03625838525190923
0.4,100.6046883039626,102.3488139193201,54.24613082298178,33.19954714030766,33.19954714030766,34.20559402334729,94.35462887220507,138.1574215908569,75.69898534315931,48.32043582051388,73.53002202022739,33.92202715371027,0,0,0,100,96.3741614748091,3.6258385251909,33,33,34,31.07475412838753,31.83933934587212,33.46006800054945,1.925245871612469,1.160660654127882,0.53993199945055,3190.173,3065.286921136675,124.8860788633258,1057.386,1520.277,612.51,995.6972717817933,1466.806524324983,602.7831250298983,61.68872821820674,53.4704756750174,9.72687497010166,-34452.26668818157,-35851.63766098298,2742.771965345749,-11369.24800709992,-11369.24800709992,-11713.77067398174,-32068.29486511529,-35224.67896017124,-39961.86236207231,2453.673890825646,3668.05531988026,1784.586287161829,0,0,0,1.646761302896845,0.9689321532672491,0.4289082511102001,31.90173,31.80610730333461,34.44336475429515,101325,102237.6997219948,75973.72386552161,166858.0890160228,98177.05042980402,43459.12854374103,-88.44004297236431,-92.39354114130654,16.64325521558816,-29.18521418088022,-29.18521418088022,-30.06961461060387,-81.37420829054548,-90.28892399885467,-104.6299979943292,12.83163769046399,20.7789969212141,21.34404759988495,0,0,0,351,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.33,0.34,0.322438645928038,0.3303721543060532,0.3471891997659088,0.5309794846727502,0.320108202851304,0.1489123124759459,0.9637416147480911,0.331450990275449,0.4765500178203502,0.1919989919042008,0.3248300395359294,0.4785217704126239,0.1966481900514466,0.4939600056281561,0.4281540117336458,0.07788598263819833,0.9608528820025354,0.03914711799746464,0.03625838525190891,100,-34452.26668818157,101325,-88.44004297236431,351,0.33,0.33,0.34,0.322438645928038,0.3303721543060532,0.3471891997659088,0.5309794846727502,0.320108202851304,0.1489123124759459,0.03625838525190891,100,-34452.26668818157,101325,-88.44004297236431,351,0.33,0.33,0.34,0.322438645928038,0.3303721543060532,0.3471891997659088,0.5309794846727502,0.320108202851304,0.1489123124759459,0.03625838525190891
0.402,100.6046883039626,102.3488139193201,54.24613082298178,33.19954714030764,33.19954714030764,34.20559402334727,94.35462887220507,138.1574215908569,75.69898534315931,48.32043582051388,73.53002202022739,33.92202715371027,0,0,0,100,96.37416147480901,3.625838525190986,33,33,34,31.07475412838749,31.83933934587209,33.46006800054944,1.925245871612514,1.160660654127909,0.539931999450563,3190.173,3065.286921136671,124.8860788633287,1057.386,1520.277,612.51,995.697271781792,1466.806524324981,602.7831250298982,61.68872821820816,53.47047567501865,9.726874970101893,-34452.26668818155,-35851.63766098299,2742.771965345749,-11369.24800709991,-11369.24800709991,-11713.77067398173,-32068.29486511529,-35224.67896017124,-39961.86236207231,2453.673890825646,3668.05531988026,1784.586287161829,0,0,0,1.646761302896845,0.9689321532672491,0.4289082511102001,31.90173,31.80610730333461,34.44336475429515,101325,102237.6997219948,75973.72386552161,166858.0890160228,98177.05042980402,43459.12854374103,-88.44004297236422,-92.39354114130654,16.64325521558816,-29.18521418088019,-29.18521418088019,-30.06961461060384,-81.37420829054548,-90.28892399885467,-104.6299979943292,12.83163769046399,20.7789969212141,21.34404759988495,0,0,0,351,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.33,0.34,0.3224386459280378,0.3303721543060532,0.347189199765909,0.53097948467275,0.320108202851304,0.1489123124759459,0.9637416147480902,0.331450990275449,0.4765500178203502,0.1919989919042008,0.3248300395359293,0.478521770412624,0.1966481900514467,0.4939600056281559,0.4281540117336459,0.07788598263819839,0.9608528820025344,0.03914711799746556,0.03625838525190988,100,-34452.26668818155,101325,-88.44004297236422,351,0.33,0.33,0.34,0.3224386459280378,0.3303721543060532,0.347189199765909,0.53097948467275,0.320108202851304,0.1489123124759459,0.03625838525190988,100,-34452.26668818155,101325,-88.44004297236422,351,0.33,0.33,0.34,0.3224386459280378,0.3303721543060532,0.347189199765909,0.53097948467275,0.320108202851304,0.1489123124759459,0.03625838525190988
0.404,100.6046883039626,102.3488139193201,54.24613082298177,33.19954714030765,33.19954714030765,34.20559402334728,94.35462887220507,138.1574215908569,75.69898534315931,48.32043582051388,73.53002202022739,33.92202715371027,0,0,0,100,96.37416147480906,3.625838525190943,33,33,34,31.07475412838751,31.83933934587211,33.46006800054945,1.925245871612491,1.160660654127895,0.5399319994505566,3190.173,3065.286921136673,124.8860788633272,1057.386,1520.277,612.51,995.6972717817926,1466.806524324982,602.7831250298983,61.68872821820744,53.47047567501802,9.726874970101777,-34452.26668818155,-35851.63766098299,2742.771965345749,-11369.24800709991,-11369.24800709991,-11713.77067398173,-32068.29486511529,-35224.67896017124,-39961.86236207231,2453.673890825646,3668.05531988026,1784.586287161829,0,0,0,1.646761302896845,0.9689321532672491,0.4289082511102001,31.90173,31.80610730333461,34.44336475429515,101325,102237.6997219948,75973.72386552161,166858.0890160228,98177.05042980402,43459.12854374103,-88.44004297236425,-92.39354114130654,16.64325521558816,-29.18521418088021,-29.18521418088021,-30.06961461060385,-81.37420829054548,-90.28892399885467,-104.6299979943292,12.83163769046399,20.7789969212141,21.34404759988495,0,0,0,351,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.33,0.34,0.3224386459280379,0.3303721543060532,0.347189199765909,0.53097948467275,0.320108202851304,0.1489123124759459,0.9637416147480905,0.331450990275449,0.4765500178203502,0.1919989919042008,0.3248300395359293,0.478521770412624,0.1966481900514467,0.4939600056281559,0.4281540117336458,0.07788598263819838,0.9608528820025348,0.0391471179974651,0.03625838525190954,100,-34452.26668818155,101325,-88.44004297236425,351,0.33,0.33,0.34,0.3224386459280379,0.3303721543060532,0.347189199765909,0.53097948467275,0.320108202851304,0.1489123124759459,0.03625838525190954,100,-34452.26668818155,101325,-88.44004297236425,351,0.33,0.33,0.34,0.3224386459280379,0.3303721543060532,0.347189199765909,0.53097948467275,0.320108202851304,0.1489123124759459,0.03625838525190954
0.406,100.6046883039626,102.3488139193201,54.24613082298177,33.19954714030765,33.19954714030765,34.20559402334728,94.35462887220507,138.1574215908569,75.69898534315931,48.32043582051388,73.53002202022739,33.92202715371027,0,0,0,100,96.37416147480904,3.625838525190957,33,33,34,31.0747541283875,31.8393393458721,33.46006800054945,1.925245871612498,1.1606606541279,0.5399319994505587,3190.173,3065.286921136672,124.8860788633277,1057.386,1520.277,612.51,995.6972717817922,1466.806524324982,602.7831250298983,61.68872821820768,53.47047567501824,9.726874970101814,-34452.26668818155,-35851.63766098299,2742.771965345749,-11369.24800709991,-11369.24800709991,-11713.77067398173,-32068.29486511529,-35224.67896017124,-39961.86236207231,2453.673890825646,3668.05531988026,1784.586287161829,0,0,0,1.646761302896845,0.9689321532672491,0.4289082511102001,31.90173,31.80610730333461,34.44336475429515,101325,102237.6997219948,75973.72386552161,166858.0890160228,98177.05042980402,43459.12854374103,-88.44004297236424,-92.39354114130654,16.64325521558816,-29.1852141808802,-29.1852141808802,-30.06961461060384,-81.37420829054548,-90.28892399885467,-104.6299979943292,12.83163769046399,20.7789969212141,21.34404759988495,0,0,0,351,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.33,0.34,0.3224386459280378,0.3303721543060532,0.347189199765909,0.53097948467275,0.320108202851304,0.1489123124759459,0.9637416147480904,0.331450990275449,0.4765500178203502,0.1919989919042008,0.3248300395359293,0.478521770412624,0.1966481900514467,0.4939600056281559,0.4281540117336459,0.07788598263819838,0.9608528820025347,0.03914711799746524,0.03625838525190966,100,-34452.26668818155,101325,-88.44004297236424,351,0.33,0.33,0.34,0.3224386459280378,0.3303721543060532,0.347189199765909,0.53097948467275,0.320108202851304,0.1489123124759459,0.03625838525190966,100,-34452.26668818155,101325,-88.44004297236424,351,0.33,0.33,0.34,0.3224386459280378,0.3303721543060532,0.347189199765909,0.53097948467275,0.320108202851304,0.1489123124759459,0.03625838525190966
0.408,100.6046883039625,102.3488139193201,54.24613082298178,33.19954714030764,33.19954714030764,34.20559402334727,94.35462887220507,138.1574215908569,75.69898534315931,48.32043582051388,73.53002202022739,33.92202715371027,0,0,0,100,96.37416147480901,3.625838525190986,33,33,34,31.07475412838749,31.83933934587209,33.46006800054944,1.925245871612514,1.160660654127909,0.539931999450563,3190.173,3065.286921136671,124.8860788633287,1057.386,1520.277,612.51,995.697271781792,1466.806524324981,602.7831250298982,61.68872821820816,53.47047567501865,9.726874970101893,-34452.26668818155,-35851.63766098299,2742.771965345749,-11369.24800709991,-11369.24800709991,-11713.77067398173,-32068.29486511529,-35224.67896017124,-39961.86236207231,2453.673890825646,3668.05531988026,1784.586287161829,0,0,0,1.646761302896845,0.9689321532672491,0.4289082511102001,31.90173,31.80610730333461,34.44336475429515,101325,102237.6997219948,75973.72386552161,166858.0890160228,98177.05042980402,43459.12854374103,-88.44004297236422,-92.39354114130654,16.64325521558816,-29.18521418088019,-29.18521418088019,-30.06961461060384,-81.37420829054548,-90.28892399885467,-104.6299979943292,12.83163769046399,20.7789969212141,21.34404759988495,0,0,0,351,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.33,0.34,0.3224386459280378,0.3303721543060532,0.347189199765909,0.53097948467275,0.320108202851304,0.1489123124759459,0.9637416147480902,0.331450990275449,0.4765500178203502,0.1919989919042008,0.3248300395359293,0.478521770412624,0.1966481900514467,0.4939600056281559,0.4281540117336459,0.07788598263819839,0.9608528820025344,0.03914711799746556,0.03625838525190984,100,-34452.26668818155,101325,-88.44004297236422,351,0.33,0.33,0.34,0.3224386459280378,0.3303721543060532,0.347189199765909,0.53097948467275,0.320108202851304,0.1489123124759459,0.03625838525190984,100,-34452.26668818155,101325,-88.44004297236422,351,0.33,0.33,0.34,0.3224386459280378,0.3303721543060532,0.347189199765909,0.53097948467275,0.320108202851304,0.1489123124759459,0.03625838525190984
0.41,100.6046883039626,102.3488139193201,54.24613082298178,33.19954714030766,33.19954714030766,34.20559402334728,94.35462887220507,138.1574215908569,75.69898534315931,48.32043582051388,73.53002202022739,33.92202715371027,0,0,0,100,96.37416147480906,3.625838525190943,33,33,34,31.07475412838751,31.83933934587211,33.46006800054944,1.925245871612491,1.160660654127895,0.5399319994505565,3190.173,3065.286921136673,124.8860788633272,1057.386,1520.277,612.51,995.6972717817928,1466.806524324982,602.7831250298982,61.68872821820745,53.47047567501802,9.726874970101775,-34452.26668818155,-35851.63766098298,2742.771965345749,-11369.24800709991,-11369.24800709991,-11713.77067398173,-32068.29486511529,-35224.67896017124,-39961.86236207231,2453.673890825646,3668.05531988026,1784.586287161829,0,0,0,1.646761302896845,0.9689321532672491,0.4289082511102001,31.90173,31.80610730333461,34.44336475429515,101325,102237.6997219948,75973.72386552161,166858.0890160228,98177.05042980402,43459.12854374103,-88.44004297236425,-92.39354114130654,16.64325521558816,-29.18521418088021,-29.18521418088021,-30.06961461060385,-81.37420829054548,-90.28892399885467,-104.6299979943292,12.83163769046399,20.7789969212141,21.34404759988495,0,0,0,351,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.33,0.34,0.3224386459280379,0.3303721543060532,0.3471891997659089,0.5309794846727501,0.320108202851304,0.1489123124759459,0.9637416147480906,0.331450990275449,0.4765500178203502,0.1919989919042008,0.3248300395359294,0.478521770412624,0.1966481900514467,0.493960005628156,0.4281540117336457,0.07788598263819835,0.9608528820025348,0.0391471179974651,0.03625838525190943,100,-34452.26668818155,101325,-88.44004297236425,351,0.33,0.33,0.34,0.3224386459280379,0.3303721543060532,0.3471891997659089,0.5309794846727501,0.320108202851304,0.1489123124759459,0.03625838525190943,100,-34452.26668818155,101325,-88.44004297236425,351,0.33,0.33,0.34,0.3224386459280379,0.3303721543060532,0.3471891997659089,0.5309794846727501,0.320108202851304,0.1489123124759459,0.03625838525190943
0.412,100.6046883039626,102.3488139193201,54.24613082298178,33.19954714030766,33.19954714030766,34.20559402334728,94.35462887220507,138.1574215908569,75.69898534315931,48.32043582051388,73.53002202022739,33.92202715371027,0,0,0,100,96.37416147480907,3.625838525190929,33,33,34,31.07475412838752,31.83933934587211,33.46006800054945,1.925245871612484,1.160660654127891,0.5399319994505545,3190.173,3065.286921136673,124.8860788633268,1057.386,1520.277,612.51,995.6972717817929,1466.806524324982,602.7831250298983,61.68872821820721,53.47047567501782,9.72687497010174,-34452.26668818155,-35851.63766098298,2742.771965345749,-11369.24800709991,-11369.24800709991,-11713.77067398173,-32068.29486511529,-35224.67896017124,-39961.86236207231,2453.673890825646,3668.05531988026,1784.586287161829,0,0,0,1.646761302896845,0.9689321532672491,0.4289082511102001,31.90173,31.80610730333461,34.44336475429515,101325,102237.6997219948,75973.72386552161,166858.0890160228,98177.05042980402,43459.12854374103,-88.44004297236427,-92.39354114130654,16.64325521558816,-29.18521418088021,-29.18521418088021,-30.06961461060385,-81.37420829054548,-90.28892399885467,-104.6299979943292,12.83163769046399,20.7789969212141,21.34404759988495,0,0,0,351,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.33,0.34,0.3224386459280379,0.3303721543060532,0.3471891997659089,0.5309794846727501,0.320108202851304,0.1489123124759459,0.9637416147480907,0.331450990275449,0.4765500178203502,0.1919989919042008,0.3248300395359294,0.478521770412624,0.1966481900514467,0.4939600056281559,0.4281540117336458,0.07788598263819836,0.960852882002535,0.03914711799746495,0.03625838525190932,100,-34452.26668818155,101325,-88.44004297236427,351,0.33,0.33,0.34,0.3224386459280379,0.3303721543060532,0.3471891997659089,0.5309794846727501,0.320108202851304,0.1489123124759459,0.03625838525190932,100,-34452.26668818155,101325,-88.44004297236427,351,0.33,0.33,0.34,0.3224386459280379,0.3303721543060532,0.3471891997659089,0.5309794846727501,0.320108202851304,0.1489123124759459,0.03625838525190932
0.414,100.6046883039626,102.3488139193201,54.24613082298178,33.19954714030766,33.19954714030766,34.20559402334729,94.35462887220507,138.1574215908569,75.69898534315931,48.32043582051388,73.53002202022739,33.92202715371027,0,0,0,100,96.3741614748091,3.6258385251909,33,33,34,31.07475412838753,31.83933934587212,33.46006800054946,1.925245871612469,1.160660654127882,0.53993199945055,3190.173,3065.286921136675,124.8860788633258,1057.386,1520.277,612.51,995.6972717817933,1466.806524324983,602.7831250298984,61.68872821820674,53.4704756750174,9.72687497010166,-34452.26668818158,-35851.63766098299,2742.771965345749,-11369.24800709992,-11369.24800709992,-11713.77067398174,-32068.29486511529,-35224.67896017124,-39961.86236207231,2453.673890825646,3668.05531988026,1784.586287161829,0,0,0,1.646761302896845,0.9689321532672491,0.4289082511102001,31.90173,31.80610730333461,34.44336475429515,101325,102237.6997219948,75973.72386552161,166858.0890160228,98177.05042980402,43459.12854374103,-88.44004297236431,-92.39354114130654,16.64325521558816,-29.18521418088022,-29.18521418088022,-30.06961461060387,-81.37420829054548,-90.28892399885467,-104.6299979943292,12.83163769046399,20.7789969212141,21.34404759988495,0,0,0,351,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.33,0.33,0.34,0.322438645928038,0.3303721543060532,0.3471891997659088,0.5309794846727502,0.320108202851304,0.1489123124759459,0.9637416147480911,0.331450990275449,0.4765500178203502,0.1919989919042008,0.3248300395359294,0.4785217704126239,0.1966481900514466,0.4939600056281561,0.4281540117336458,0.07788598263819833,0.9608528820025354,0.03914711799746464,0.03625838525190897,100,-34452.26668818158,101325,-88.44004297236431,351,0.33,0.33,0.34,0.322438645928038,0.3303721543060532,0.3471891997659088,0.5309794846727502,0.320108202851304,0.1489123124759459,0.03625838525190897,100,-34452.26668818158,101325,-88.44004297236431,351,0.33,0.33,0.34,0.322438645928038,0.3303721543060532,0.3471891997659088,0.5309794846727502,0.320108202851304,0.1489123124759459,0.03625838525190897
